"pattern","status","unlocked_by","wordle_number"
"XXXXX","unlocked","tb","1880"
"XXXXY","locked","",""
"XXXXG","unlocked","tb","1883"
"XXXYX","unlocked","Martini","1879"
"XXXYY","locked","",""
"XXXYG","unlocked","Martini","1879"
"XXXGX","unlocked","tb","1879"
"XXXGY","locked","",""
"XXXGG","unlocked","tb","1879"
"XXYXX","unlocked","tb","1884"
"XXYXY","locked","",""
"XXYXG","locked","",""
"XXYYX","locked","",""
"XXYYY","unlocked","Marty","1880"
"XXYYG","locked","",""
"XXYGX","locked","",""
"XXYGY","locked","",""
"XXYGG","locked","",""
"XXGXX","unlocked","Marty","1883"
"XXGXY","locked","",""
"XXGXG","unlocked","tb","1885"
"XXGYX","locked","",""
"XXGYY","locked","",""
"XXGYG","unlocked","tb","1883"
"XXGGX","locked","",""
"XXGGY","locked","",""
"XXGGG","unlocked","Martini","1879"
"XYXXX","unlocked","tb","1884"
"XYXXY","unlocked","tb","1882"
"XYXXG","locked","",""
"XYXYX","locked","",""
"XYXYY","locked","",""
"XYXYG","locked","",""
"XYXGX","locked","",""
"XYXGY","locked","",""
"XYXGG","locked","",""
"XYYXX","locked","",""
"XYYXY","locked","",""
"XYYXG","locked","",""
"XYYYX","locked","",""
"XYYYY","locked","",""
"XYYYG","locked","",""
"XYYGX","locked","",""
"XYYGY","locked","",""
"XYYGG","locked","",""
"XYGXX","unlocked","tb","1887"
"XYGXY","unlocked","Marty","1883"
"XYGXG","unlocked","tb","1883"
"XYGYX","locked","",""
"XYGYY","locked","",""
"XYGYG","locked","",""
"XYGGX","locked","",""
"XYGGY","locked","",""
"XYGGG","locked","",""
"XGXXX","unlocked","Marty","1881"
"XGXXY","locked","",""
"XGXXG","unlocked","Marty","1887"
"XGXYX","locked","",""
"XGXYY","locked","",""
"XGXYG","locked","",""
"XGXGX","locked","",""
"XGXGY","locked","",""
"XGXGG","locked","",""
"XGYXX","locked","",""
"XGYXY","locked","",""
"XGYXG","locked","",""
"XGYYX","locked","",""
"XGYYY","locked","",""
"XGYYG","locked","",""
"XGYGX","locked","",""
"XGYGY","locked","",""
"XGYGG","locked","",""
"XGGXX","unlocked","tb","1880"
"XGGXY","locked","",""
"XGGXG","locked","",""
"XGGYX","locked","",""
"XGGYY","locked","",""
"XGGYG","unlocked","tb","1885"
"XGGGX","locked","",""
"XGGGY","locked","",""
"XGGGG","unlocked","tb","1880"
"YXXXX","unlocked","tb","1879"
"YXXXY","locked","",""
"YXXXG","locked","",""
"YXXYX","unlocked","Martini","1879"
"YXXYY","locked","",""
"YXXYG","locked","",""
"YXXGX","locked","",""
"YXXGY","locked","",""
"YXXGG","locked","",""
"YXYXX","locked","",""
"YXYXY","unlocked","Marty","1884"
"YXYXG","locked","",""
"YXYYX","locked","",""
"YXYYY","locked","",""
"YXYYG","locked","",""
"YXYGX","locked","",""
"YXYGY","locked","",""
"YXYGG","locked","",""
"YXGXX","locked","",""
"YXGXY","locked","",""
"YXGXG","locked","",""
"YXGYX","locked","",""
"YXGYY","locked","",""
"YXGYG","locked","",""
"YXGGX","locked","",""
"YXGGY","locked","",""
"YXGGG","locked","",""
"YYXXX","locked","",""
"YYXXY","locked","",""
"YYXXG","locked","",""
"YYXYX","locked","",""
"YYXYY","locked","",""
"YYXYG","locked","",""
"YYXGX","locked","",""
"YYXGY","locked","",""
"YYXGG","locked","",""
"YYYXX","locked","",""
